year,month,rank,song_title,artist_name
1960,8,47,STARBRIGHT,JOHNNY MATHIS
1960,8,48,IS A BLUE BIRD BLUE,CONWAY TWITTY
1960,8,49,I'M STARTING TO GO STEADY,JOHNNY PRESTON
1960,8,50,CONSIDER YOURSELF,MAX BYGRAVES
1960,9,1,APACHE,THE SHADOWS
1960,9,2,PLEASE DON'T TEASE,CLIFF RICHARD
1960,9,3,A MESS OF BLUES,ELVIS PRESLEY
1960,9,4,BECAUSE THEY'RE YOUNG,DUANE EDDY
1960,9,5,WHEN WILL I BE LOVED,THE EVERLY BROTHERS
1960,9,6,IF SHE SHOULD COME TO YOU,ANTHONY NEWLEY
1960,9,7,SHAKIN' ALL OVER,JOHNNY KIDD AND THE PIRATES
1960,9,8,LOVE IS LIKE A VIOLIN,KEN DODD
1960,9,9,AS LONG AS HE NEEDS ME,SHIRLEY BASSEY
1960,9,10,TIE ME KANGAROO DOWN SPORT,ROLF HARRIS
1960,9,11,EVERYBODY'S SOMEBODY'S FOOL,CONNIE FRANCIS
1960,9,12,I'M SORRY,BRENDA LEE
1960,9,13,PAPER ROSES,KAYE SISTERS
1960,9,14,TELL LAURA I LOVE HER,RICKY VALANCE
1960,9,15,ONLY THE LONELY,ROY ORBISON
1960,9,16,GOOD TIMIN',JIMMY JONES
1960,9,17,LORELEI,LONNIE DONEGAN
1960,9,18,FEEL SO FINE,JOHNNY PRESTON
1960,9,19,WALKING TO NEW ORLEANS,FATS DOMINO
1960,9,20,ITSY BITSY TEENIE WEENIE YELLOW POLKA DOT BIKINI,BRIAN HYLAND
1960,9,21,AIN'T MISBEHAVIN',TOMMY BRUCE AND THE BRUISERS
1960,9,22,LOOK FOR A STAR,GARY MILLS
1960,9,23,IMAGE OF A GIRL,MARK WYNTER
1960,9,24,MAIS OUI,KING BROTHERS
1960,9,25,MAMA/ROBOT MAN,CONNIE FRANCIS
1960,9,26,WHEN JOHNNY COMES MARCHING HOME/MADE YOU,ADAM FAITH
1960,9,27,I WANNA GO HOME,LONNIE DONEGAN
1960,9,28,PLEASE HELP ME I'M FALLING,HANK LOCKLIN
1960,9,29,ALLEY OOP,HOLLYWOOD ARGYLES
1960,9,30,WHITE CLIFFS OF DOVER,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND
1960,9,31,THE OLD OAKEN BUCKET,TOMMY SANDS
1960,9,32,LET'S HAVE A PARTY,WANDA JACKSON
1960,9,33,WHAT A MOUTH,TOMMY STEELE
1960,9,34,I'D DO ANYTHING,MIKE PRESTON
1960,9,35,BECAUSE THEY'RE YOUNG,JAMES DARREN
1960,9,36,HE'LL HAVE TO GO,JIM REEVES
1960,9,37,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,9,38,ANGELA JONES,MICHAEL COX
1960,9,39,MULE SKINNER BLUES,RUSTY DRAPER
1960,9,40,IMAGE OF A GIRL,NELSON KEENE
1960,9,41,MULE SKINNER BLUES,FENDERMEN
1960,9,42,TRAIN OF LOVE,ALMA COGAN
1960,9,43,PAPA LOVES MAMA,JOAN REGAN
1960,9,44,HOW DO YOU KNOW IT'S LOVE,TERESA BREWER
1960,9,45,YOU MEAN EVERYTHING TO ME,NEIL SEDAKA
1960,9,46,VOLARE,BOBBY RYDELL
1960,9,47,HANDY MAN,JIMMY JONES
1960,9,48,BLUEBERRY HILL,JOHN BARRY ORCHESTRA
1960,9,49,THEM THERE EYES,EMILE FORD AND THE CHECKMATES
1960,9,50,LITTLE BOY LOST,MICHAEL HOLLIDAY
1960,10,1,TELL LAURA I LOVE HER,RICKY VALANCE
1960,10,2,APACHE,THE SHADOWS
1960,10,3,A MESS OF BLUES,ELVIS PRESLEY
1960,10,4,ONLY THE LONELY,ROY ORBISON
1960,10,5,BECAUSE THEY'RE YOUNG,DUANE EDDY
1960,10,6,NINE TIMES OUT OF TEN,CLIFF RICHARD
1960,10,7,EVERYBODY'S SOMEBODY'S FOOL,CONNIE FRANCIS
1960,10,8,PLEASE DON'T TEASE,CLIFF RICHARD
1960,10,9,AS LONG AS HE NEEDS ME,SHIRLEY BASSEY
1960,10,10,HOW ABOUT THAT,ADAM FAITH
1960,10,11,WALK, DON'T RUN
1960,10,12,PLEASE HELP ME I'M FALLING,HANK LOCKLIN
1960,10,13,WHEN WILL I BE LOVED,THE EVERLY BROTHERS
1960,10,14,PAPER ROSES,KAYE SISTERS
1960,10,15,LUCILLE/SO SAD,THE EVERLY BROTHERS
1960,10,16,LOVE IS LIKE A VIOLIN,KEN DODD
1960,10,17,SHAKIN' ALL OVER,JOHNNY KIDD AND THE PIRATES
1960,10,18,WALK DON'T RUN,JOHN BARRY SEVEN
1960,10,19,IMAGE OF A GIRL,MARK WYNTER
1960,10,20,IF SHE SHOULD COME TO YOU,ANTHONY NEWLEY
1960,10,21,LET'S THINK ABOUT LIVING,BOB LUMAN
1960,10,22,I'M SORRY,BRENDA LEE
1960,10,23,TIE ME KANGAROO DOWN SPORT,ROLF HARRIS
1960,10,24,LORELEI,LONNIE DONEGAN
1960,10,25,NICE 'N' EASY,FRANK SINATRA
1960,10,26,FEEL SO FINE,JOHNNY PRESTON
1960,10,27,PASSING BREEZE,RUSS CONWAY
1960,10,28,WONDROUS PLACE,BILLY FURY
1960,10,29,VOLARE,BOBBY RYDELL
1960,10,30,THEM THERE EYES,EMILE FORD AND THE CHECKMATES
1960,10,31,I'D DO ANYTHING,MIKE PRESTON
1960,10,32,CHAIN GANG,SAM COOKE
1960,10,33,KOOKIE LITTLE PARADISE,FRANKIE VAUGHAN
1960,10,34,LOOK FOR A STAR,GARY MILLS
1960,10,35,THEME FROM 'A SUMMER PLACE',PERCY FAITH
1960,10,36,HE'LL HAVE TO GO,JIM REEVES
1960,10,37,WHITE CLIFFS OF DOVER,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND
1960,10,38,MACDONALD'S CAVE,PILTDOWN MEN
1960,10,39,LET'S HAVE A PARTY,WANDA JACKSON
1960,10,40,MULE SKINNER BLUES,FENDERMEN
1960,10,41,DREAMIN',JOHNNY BURNETTE
1960,10,42,CARIBBEAN HONEYMOON,FRANK WEIR
1960,10,43,I JUST GO FOR YOU,JIMMY JONES
1960,10,44,ALL MY LOVE,JACKIE WILSON
1960,10,45,IMAGE OF A GIRL,NELSON KEENE
1960,10,46,ITSY BITSY TEENIE WEENIE YELLOW POLKA DOT BIKINI,BRIAN HYLAND
1960,10,47,MAIS OUI,KING BROTHERS
